Name,Woff Font File,JS Font File,CSS Font File,Position,Status
Brush-Script,brushscriptbt-regular-webfont.woff,brushscriptbt-regular-webfont.woff,Brush-Script.css,1,1
Interceptor,interceptor-webfont.woff,interceptor-webfont.woff,Interceptor.css,2,1
Source Sans Pro,sourcesanspro-regular-webfont.woff,sourcesanspro-regular-webfont.woff,Source_Sans_Pro.css,3,1
Alex Brush,alexbrush-regular-webfont.woff,alexbrush-regular-webfont.woff,Alex Brush.css,4,1
Quicksand,quicksand-regular-webfont.woff,quicksand-regular-webfont.woff,Quicksand.css,5,1
Kaushan Script,kaushanscript-regular-webfont.woff,kaushanscript-regular-webfont.woff,Kaushan Script.css,6,1
Kroftsmann,kroftsmann-webfont.woff,kroftsmann-webfont.woff,Kroftsmann.css,7,1
Pacifico,pacifico-webfont.woff,pacifico-webfont.woff,Pacifico.css,8,1
Bebas Neue,bebasneue-webfont.woff,bebasneue-webfont.woff,Bebas Neue.css,9,1
Lobster Two,lobstertwo-regular-webfont.woff,lobstertwo-regular-webfont.woff,Lobster_Two.css,10,1
sansation,sansation-regular-webfont.woff,sansation-regular-webfont.woff,sansation.css,11,1
Walkway Oblique,Walkway_Oblique-webfont.woff,Walkway_Oblique-webfont.woff,Walkway_Oblique.css,12,1
Black Jack,black_jack-webfont.woff,black_jack-webfont.woff,Black Jack.css,13,1
Cantarell,cantarell-regular-webfont.woff,cantarell-regular-webfont.woff,Cantarell.css,14,1
Daniel,daniel-webfont.woff,daniel-webfont.woff,Daniel.css,15,1
Sail,sail-regular-webfont.woff,sail-regular-webfont.woff,Sail.css,16,1
Molot,molot-webfont.woff,molot-webfont.woff,Molot.css,17,1
Exo,exo-regular-webfont.woff,exo-regular-webfont.woff,Exo.css,18,1
Fingerpaint,fingerpaint-regular-webfont.woff,fingerpaint-regular-webfont.woff,Fingerpaint.css,19,1
Ostrich Sans Inline,ostrich_sans_inline-regular-webfont.woff,ostrich_sans_inline-regular-webfont.woff,Ostrich_Sans_Inline.css,20,1
Barrio,barrio-regular-webfont.woff,barrio-regular-webfont.woff,Barrio.css,21,1
Afta sans,aftasansthin-regular-webfont.woff,aftasansthin-regular-webfont.woff,Afta_sans.css,22,1
After Shok,After_Shok-webfont.woff,After_Shok-webfont.woff,After Shok.css,23,1
Aguafina Script,aguafinascript-regular-webfont.woff,aguafinascript-regular-webfont.woff,Aguafina Script.css,24,1
Aldo,Aldo_Open-webfont.woff,Aldo_Open-webfont.woff,Aldo.css,25,1
Aleo,aleo-regular-webfont.woff,aleo-regular-webfont.woff,Aleo.css,26,1
Allura,allura-regular-webfont.woff,allura-regular-webfont.woff,Allura.css,27,1
Almendra,almendra-regular-webfont.woff,almendra-regular-webfont.woff,Almendra.css,28,1
Amadeus Regular,Amadeus-webfont.woff,Amadeus-webfont.woff,Amadeus_Regular.css,29,1
Anagram,Anagram-webfont.woff,Anagram-webfont.woff,Anagram.css,30,1
Belligerent Madness,belligerent-webfont.woff,belligerent-webfont.woff,Belligerent_Madness.css,31,1
Bellota,bellota-regular-webfont.woff,bellota-regular-webfont.woff,Bellota.css,32,1
Boston Traffic,boston_traffic-webfont.woff,boston_traffic-webfont.woff,Boston Traffic.css,33,1
BPdotsUnicase Plus,BPdotsUnicasePlus-webfont.woff,BPdotsUnicasePlus-webfont.woff,BPdotsUnicase Plus.css,34,1
Cherryswash,cherryswash-regular-webfont.woff,cherryswash-regular-webfont.woff,Cherryswash.css,35,1
Dymaxion Script,DymaxionScript-webfont.woff,DymaxionScript-webfont.woff,Dymaxion Script.css,36,1
ElliotSix,ElliotSix-webfont.woff,ElliotSix-webfont.woff,ElliotSix.css,37,1
Euphoria Script,euphoriascript-regular-webfont.woff,euphoriascript-regular-webfont.woff,Euphoria Script.css,38,1
SF Collegiate,SF_Collegiate-webfont.woff,SF_Collegiate-webfont.woff,SF Collegiate.css,39,1
